Customer ID,Transaction Date,Product Category,Purchase Amount
636,2021-07-25,Non Finished Goods,469.08
636,2021-07-25,Personal Care,8413.86
636,2021-11-28,Personal Care,8801.68
636,2021-11-28,Unknown,189.42
637,2021-10-10,Plate for Graphics - non FG,538.83
637,2021-12-26,Specialty Foods - Other,23427.96
637,2021-12-26,Unknown,2183.86
637,2021-10-03,Plate for Graphics - non FG,580.4
642,2022-02-13,Bakery,10899.98
642,2022-02-13,Non Finished Goods,121.15
642,2022-05-15,Non Finished Goods,233.71
642,2022-05-22,Bakery,10513.92
642,2021-12-26,Bakery,20101.12
642,2021-12-26,Non Finished Goods,233.71
642,2022-02-27,Bakery,21136.83
642,2022-02-27,Non Finished Goods,230.79
642,2022-05-08,Bakery,15709.44
653,2022-04-10,Personal Care,9100.12
653,2022-04-10,Unknown,143.2
653,2023-06-11,Personal Care,323.18
653,2021-06-13,Non Finished Goods,271.12
653,2021-06-13,Personal Care,8864.89
653,2022-08-14,Personal Care,16070.4
653,2022-06-19,Personal Care,15856.13
653,2024-05-19,Healthcare Films & Flex Pkg,700.0
653,2024-05-19,Personal Care,20537.21
653,2021-06-20,Non Finished Goods,320.03
653,2021-06-20,Personal Care,7883.84
653,2023-01-22,Personal Care,2012.14
653,2024-06-23,Personal Care,3872.19
653,2022-06-26,Unknown,235.91
653,2024-10-27,Personal Care,12644.93
653,2023-01-29,Personal Care,2723.0
653,2023-12-03,Personal Care,12967.5
653,2023-09-03,Personal Care,15356.16
653,2022-10-30,Personal Care,28594.94
661,2022-04-10,Personal Care,1868.04
661,2021-10-10,Personal Care,20007.37
661,2021-08-15,Personal Care,6893.17
661,2022-05-15,Personal Care,12145.14
661,2021-07-18,Personal Care,23428.8
661,2022-03-20,Personal Care,1634.54
661,2022-04-03,Personal Care,5398.79
661,2021-09-05,Personal Care,27106.25
661,2022-02-06,Personal Care,12803.86
663,2021-08-01,Converter & Specialty Ind Film,44933.4
663,2021-07-11,Converter & Specialty Ind Film,8695.8
663,2021-09-12,Converter & Specialty Ind Film,20187.79
663,2022-03-13,Converter & Specialty Ind Film,22500.1
663,2022-03-13,Non Finished Goods,249.31
663,2021-10-17,Converter & Specialty Ind Film,3268.63
663,2021-07-18,Converter & Specialty Ind Film,15792.2
663,2021-12-19,Converter & Specialty Ind Film,8848.8
663,2021-12-19,Non Finished Goods,122.05
663,2021-09-19,Converter & Specialty Ind Film,16160.4
663,2022-03-20,Converter & Specialty Ind Film,5998.16
663,2022-03-20,Non Finished Goods,69.14
663,2021-11-21,Converter & Specialty Ind Film,28976.010000000002
663,2021-11-21,Non Finished Goods,331.28999999999996
663,2021-08-22,Converter & Specialty Ind Film,25665.09
663,2022-01-23,Converter & Specialty Ind Film,115754.68000000001
663,2022-01-23,Non Finished Goods,846.88
663,2022-02-27,Converter & Specialty Ind Film,49010.46
663,2022-02-27,Non Finished Goods,438.17
663,2021-06-27,Converter & Specialty Ind Film,95954.1
